grade1,grade2,attendance,finalGrade
40,45,3,BarelyPassed
65,70,5,Passed
70,75,2,Passed
85,75,4,Passed
45,45,2,BarelyPassed
90,90,4,Passed
45,45,5,BarelyPassed
80,80,3,Passed
40,50,3,BarelyPassed
45,45,2,BarelyPassed
35,30,4,Failed
50,50,3,BarelyPassed
50,45,2,BarelyPassed
35,35,5,BarelyPassed
55,60,4,Passed
45,45,2,BarelyPassed
35,35,3,BarelyPassed
40,40,5,BarelyPassed
60,60,5,Passed
60,65,4,Passed
30,35,4,BarelyPassed
40,50,2,BarelyPassed
70,75,2,Passed
30,30,4,Failed
30,30,3,BarelyPassed
35,35,4,BarelyPassed
45,50,3,BarelyPassed
30,30,2,Failed
30,25,5,Failed
80,80,3,Passed
60,65,3,Passed
65,65,4,Passed
45,40,3,BarelyPassed
80,75,2,Passed
60,55,3,Passed
50,40,3,BarelyPassed
60,50,2,Passed
65,65,2,Passed
55,55,3,BarelyPassed
55,45,2,BarelyPassed
70,65,4,Passed
45,35,4,Failed
55,45,5,BarelyPassed
70,65,3,Passed
65,60,4,Passed
65,55,1,BarelyPassed
35,35,4,Failed
60,60,4,Passed
50,55,2,Passed
30,0,3,Failed
65,60,2,Passed
35,0,3,Failed
90,90,5,Passed
60,60,2,Passed
30,40,1,BarelyPassed
15,25,2,Failed
65,75,2,Passed
30,40,3,BarelyPassed
35,50,2,BarelyPassed
30,45,2,BarelyPassed
40,45,2,BarelyPassed
40,60,2,Passed
35,45,2,BarelyPassed
70,60,3,Passed
55,55,4,BarelyPassed
75,70,1,Passed
50,45,2,Failed
85,90,2,Passed
40,40,2,BarelyPassed
65,60,3,Passed
50,45,1,BarelyPassed
45,50,3,Failed
85,85,4,Passed
45,45,3,BarelyPassed
60,50,2,BarelyPassed
50,45,2,BarelyPassed
30,0,2,Failed
45,45,2,BarelyPassed
75,70,4,Passed
55,55,3,BarelyPassed
75,70,4,Passed
50,50,3,BarelyPassed
60,60,4,Passed
50,45,2,BarelyPassed
45,45,3,BarelyPassed
45,40,2,BarelyPassed
50,55,4,BarelyPassed
40,40,2,BarelyPassed
55,45,3,BarelyPassed
60,60,4,Passed
40,45,2,BarelyPassed
50,45,2,BarelyPassed
60,50,5,BarelyPassed
90,90,4,Passed
65,60,3,Passed
75,70,5,Passed
75,65,4,Passed
60,55,4,BarelyPassed
75,75,4,Passed
60,60,4,Passed
90,90,3,Passed
70,65,3,Passed
70,60,1,BarelyPassed
50,45,4,Failed
50,40,3,BarelyPassed
70,65,5,Passed
80,75,3,Passed
60,50,4,BarelyPassed
55,55,3,BarelyPassed
75,60,3,Passed
85,85,4,Passed
75,70,4,Passed
70,60,3,Passed
85,90,2,Passed
40,45,3,BarelyPassed
75,60,3,Passed
60,50,1,BarelyPassed
45,45,4,Failed
70,60,2,Passed
65,55,4,BarelyPassed
65,50,4,BarelyPassed
75,65,2,Passed
65,55,1,BarelyPassed
40,40,2,Failed
45,50,4,BarelyPassed
55,55,4,BarelyPassed
55,55,2,BarelyPassed
65,65,4,Passed
55,45,3,BarelyPassed
55,55,3,BarelyPassed
60,70,3,Passed
80,75,4,Passed
45,60,5,BarelyPassed
70,75,3,Passed
55,50,4,BarelyPassed
50,45,5,BarelyPassed
70,70,4,Passed
45,40,4,BarelyPassed
60,70,2,Passed
35,0,1,Failed
40,40,2,Failed
50,45,3,Failed
80,75,4,Passed
70,65,2,Passed
35,40,2,Failed
80,75,2,Passed
45,50,4,BarelyPassed
55,60,2,BarelyPassed
50,50,5,Failed
80,75,2,Passed
45,40,4,Failed
55,50,3,BarelyPassed
65,65,5,Passed
80,75,3,Passed
50,50,3,BarelyPassed
65,75,3,Passed
55,65,4,Passed
40,35,2,BarelyPassed
65,65,2,Passed
40,35,4,BarelyPassed
40,40,3,BarelyPassed
65,55,3,BarelyPassed
50,45,2,BarelyPassed
60,65,4,Passed
60,60,4,BarelyPassed
50,50,4,BarelyPassed
90,80,3,Passed
65,65,2,Passed
65,60,4,Passed
55,55,5,BarelyPassed
80,75,3,Passed
60,55,2,Passed
50,50,5,BarelyPassed
65,65,2,Passed
35,30,3,Failed
55,50,4,BarelyPassed
70,60,2,BarelyPassed
35,35,2,BarelyPassed
70,60,2,Passed
65,55,2,BarelyPassed
30,25,2,Failed
95,90,2,Passed
40,40,3,BarelyPassed
75,70,3,Passed
40,45,2,BarelyPassed
75,75,3,Passed
50,50,5,BarelyPassed
75,70,2,Passed
35,30,4,BarelyPassed
55,55,1,BarelyPassed
30,25,2,Failed
30,25,3,Failed
50,45,4,BarelyPassed
30,25,2,Failed
35,25,3,Failed
35,45,2,BarelyPassed
30,25,4,Failed
45,45,2,BarelyPassed
70,80,4,Passed
50,40,2,BarelyPassed
55,60,2,BarelyPassed
40,45,2,BarelyPassed
25,30,1,Failed
30,25,2,Failed
